Image Name,Extracted Text
102.jpeg," 

 

    

SNS000s1ay ys £Z0z@

           

‘SINFIGIYONI AOS ¢
‘CLNVOIXOLING
CNV “CLNVGIXONLNY) LovHLy3 At
ALLW4 40 S3CIU39A79I0 ONY -0 NOW
NIVHO WNIGSW ae ou 90: HOY WS
(NYOO WOUS JVI) NIMLXA UN
'NIHLIDA1 AOS ‘IS ‘SHOAW14 TVHRLWN TWO HLM
UISS390Hd) ¥0909 40 %@ NYHL Soa TONY dfdAS
NYO9 ""TIO VIONWO ‘NYOddOd HVDNS :S1NIG3H9NI

9)

‘SOIAPE UONUINU fB1eU@B JO} Pesn si Aep e sovio)
000'¢ ‘elp Ajrep B 0} SaINGUIUOS poo; jo ee

JU9/J}NU Yon MOY NOA Sije} (AQ) anjeA Alec %

20. EE Gace unisselod

6}, ue} SSe| W830
—  djeiom

appy Sz} Sepnioul
SRE eee etng FOL

 

        
           
    
                    

epee

   

 

Yk 60¢ eyeapAyoqieD ae
46 Bugg winir°S|
I ie sue

 
 
"
114.jpeg,"hb

per conalner moo oS i 7
Mieseuing size Cholesterol 15mg 6% Incl. StgAdded Sunes 61y
mr ki

eC eet ey

HAMAS) — Sodium 270mg 12% Protein2g :
A Ss 580 ms Be a ——— : cane i A sr ace “ay < _
Vitamin D 0% ¢ Calcium 4% ¢ Iron 10% » Potassium 904 NCR. tr! 2 ey hia
———— Sn en ""ee oa’)

A ' ; | “ og
; » e

ad

i, 4 ~

a es oe F
OF

rt cry >: SUGAR, WATER, SOYBEAN OIL, ENRICHED FLOUR (BLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, MACIN, FERR
JOWONITRATE, Re OFLAVIN, FOLIC ACID), COCOA, CORN SYRUP, GLYCERIN, CONTAINS 2% OR LESS: MODIFIED CORNSTARCH, EGG,
/OR, EGG WHITE, NONFAT DRY MILK, CORNSTARCH, PALM OIL. SALT, SODIUM ACID PYROPHOSPHATE, PRESERVATIVE (SORBIGG
ee emmy ODIFIED FOOD STARCH, BAKING SODA, WHEY, GUAR GUM, CELRRS SARs
AGAR, MONOCALCIUM PHOSPHATE, SODIUM CASEINALE, SO) [* RRR 3

ae NS | | CONTAINS EGG, MILK, SOY, WHEAT. Se
‘ee | | | CONTAINS BICENGINEEHCS - Jw
ie ”, Zé. - | | : a A
ee ceamen ae,

 
"
83.jpeg,"686168 Weal] PTOT/P/G :Aq 1Saq

(686168 | ELE8Z ON ‘@HOPRY) spoos poop Ajnsy
AOS PUR OUURSas ‘way “qT ‘sjnU 9a] “SyNUBad sassao0 sd PY] ATIOL] B UT apeyy
TVSHAA CNY “CLONTYA\ ‘GNOMTY) SLON Aa ‘AOS STA ‘SNIVLINOD
oO
‘IT¥S ‘0
JANAd (FAVS SMINOUDIINOD (iSyvaA GIVNOaHWIIG WiNIGOS ‘dNHAS NHOD “ITH “IT¥S (NYaaA0S os
HO “VIONYD ‘NOD! 11 T1d¥1993A (ay INO WIAY HOG LY LINONOW JNIAPYIH ‘NOY! ds9NaIw eG —
NIOVIN HNO LV3HAN) HNO LWIHMA CaHOMING) STI¥a TaZLddd NINA ‘NIHIOT1 AGS COL > ——
{300X010 FANN LD ¥O109 TYDOHLNY DOIAL_EYNON ‘AIHA G3YN.11ND) YIGMOd IHNIGA YIGAHOd CO
SONAL DYSNON “TIO TINY) Td GSYNJOOGAH SHYONS) ONILYOD JUNOOA) STT¥d 13Z3ud N90, —
‘SONOWITY “(SSINHSIH4 IAYISIud OL G3day LHd “ILVYHdSOHd FINIGOSL ISOubad NIKO C=
AOS ‘“IYNOGHYO WNIDTYD “¥dOs ONDIa “ITS IS0.L9NeH ‘AINOH SISS¥YTOW! 10 YIONYD ‘THI >
NYCO SYONS “LYIHAA NIVEO JIOHAN SHIIS¥OL AWHYYS AINGH “3719 SYSNOLDNO? NL VV —
WOOL “ANAS YOO) TAOWROYSO ‘HIONID ‘SIAOTD NOWIYNNID) SIDS SOAWT THUNLDYN

as
TIN 81148 7 ME Sime HI Sin AtAnITWN gon fou oon Semac tan Gare aninn Fcompsa
AUS US IR I Pe a US I UK ST

(_o ——
AIHUDTT HJAAO HANS STI JIOHAN HALINd ¥OOO9 SYONS INVWO) FPNOIOHD FUHAS STFARARD

SA ATe% = ATH

Yat) SeIOg TAC %49) UOT TAC 4h) UNITED TAC 0) CITA
URI, “(AC 407 ‘swesng pappy SLT Pup

SE] SIBNG [RIO]
{Ad ~L) BZ BAA (AC WL)S6T SHED RIOL(CAT %S) SWOZT tMpog

“VW INIJINOD IDING AWWIHS “YVONS ‘SIMYIGNYUD) SIYIGNWHD GIYOAY TY AMID ‘SINIGIHONI Y

CAC YO) SUID “SAND

SOwTSULLL (AC YOL) 3z 7 q es
(acys) so RIROL (CT SOHO[ED a2:
(sdnd piT) 80¢ A216 “A106

Jad qunoury

SBUIAIS £ ‘SAUARS $JIVJ UONLQN

oe oN gk nan ee
MAE £ a) ae 7s ‘¥ :

-

oT Ms s ms +.
ee ee ee beer sik edd © 2eee
ole has eee radi eibhey bei

os
E > a in
Sa, be ay SS
sous eo re oe
rs pred dette) a a b> ~
ba Ld ao . 1

-
Pe tat Es

 
"
88.jpeg,"   

is
CAN YO RS WES Rige

SUUYOTUTSU) SALISIOIG

eS
Sv SAUSAGE ORE
eae Ci ha een

PaisBi8 (

Fuxrmos PAO TevWnAss

‘GNLWAdaSSHd) CIOY 5!
N UNO STEVE

SNINVIL_'N

i
‘
| ong} Buz UO © 0 §w9 wn
eo eee
sags Sieing pany O62 SapNPU
BOE SIRENS (OL

ee er re

\ Sey 6 sea Kieyaid

a Sey © 0 mpm Gy yo OMe © LAAN 2 WL

7} ‘Spoo4 WLP $0 yewaped paiajsifiel & St @ALaxeg ST |
“wud gz OF] “UU0D “sHy dad Yd Bey |

yeu uayegsil maim « OLSOF
‘CINSIGSYONI G00

‘spood WA :Aq 2pe |
4 CAYSANIONSOLG SNIVLNOS |
“AOS ‘LVAHM SNIVINOS

‘NIHLIOS1 10S ‘94 MOTIAA ‘S# MOTTA
FIVUVAISONOW N¥LIGUOS ‘SJGIUFOATIIG ONY -ONOW WVvOV-U

WLIO GALLWAYISSH
dain

 

6

0 Wid GalvNOLLOWHs

NIAVTS08Id ""JIVYLINONOW

undls

“Sng WON (evetiab 30} pos 8 Rep b Sau0ted 000 2
ye i) ateA NICO UL 6 fangs

CSHOIUNG ‘SLNaIGaWON!

op() BWLE WNISSE}Od ww

jeg © %0 Howo d UIWEIA (zo p/Bg Lt) ald +
iit sage umpos «2S BUIAOS
ay ___—_Huud jotensajolt) J9ule}U09
60 124 SUBL jyod BuIAses |

voy wesownes = SOE

Pea

\qiz __ 066 aaesphyomied OL %oiz 691 124 [EVOL
— — uOI}IA}NN

OGY 6g 124 payesmes

ype pablo «ANE,

si = af Pe Te
"
105.jpeg,"a NUSIA Slane 2% VUR-) 1 oe
yoo sadeohpue MMM Fee Te etU0G ip su 3

4
gleacwows> Ss

_79£-008-} 1122 40 = fy
(shes aojun POO} S40W Joy 494 Ueog

‘Ad CALNE sig
“WII 'SHIVINO9
_, 2AV19 MOTISA IHW S MP 3 WNdS
JAW OF Cu ‘(YO109) LovuLYa Yaya YOAV Thu.
‘Y3IGMOd OMYYD ‘JIWNISONI WNIGOSIG ‘SAW IANWND
WMIGOSIC “S30IHZ0AT9IC ONY -ONOW ‘Omuvo ‘ys
'UVDINIA ‘Y3dd3d SNNSAVD G29¥) 39NWS JOH ‘HVONS
YIGMOd NOINO “UY OIMLIO ‘(SSINHS3H4 HO4) DHL
‘AIVL30¥I0 WNIGUS ‘3sO¥LYad ‘UVWYLNT9 WNIGOSONOW
CUINM “Hac.Od ABMM 29 %2 NVHL SS37 ‘Oys
S30LVi9d ASW “CIO dsoi.u.i09 HO/ONY WT¥d) Tl
a WAVIS9SA vas’ NYOD MOTISA C3WH3930 ‘SLNSIGIHONI
""@OIADE UON' ""Nu peseueb
0} pasn S| ABP B St YOIED O09'2 -ye1p Aurep B 0} SaINqUIUCD Pooy
jo Buues B Ul UOL UB ONW MOY NOK sua} (Aq) anjea Aeq % SUL .
WNISSB}Od
U0J|

Si eKe BP
Or 96 /%L BRI
we nee 2h Bue) as
eel
<= eee
= 1e-4 pajP.2S
net B6leG) Be ee

 
"
97.jpeg,"lit

P0E8S25/

CIE OU 202 @ ceo 08) TH <SuoUsanp

ee YOVNY NI 30K

: N aNtcalStta ead 190 Hg
ses aya HS TG Sa TIAL YSCCh,
Le CHT ee Wey TSH isn SHOW THOU
CTL SEY tS oe TVA NS SINSICHON)
6 = ALY, (AG %40) 6 “queg
} 20 124 [e101

S'0) Ju |

on Lan |

ax

Ki me

i

 
"
19.jpeg,"JNaIGaHON! 004 GSHSaNIDNAO\a ¥ SNIVLNOD
zcoc® sezeNt ‘qwaa9a 109 ‘0SZ xOa ‘O'd SPOC$ +
5

‘SiN aah
A SNIVINOO NOLWAYOANI ADEATIY 9

“(DY OIULIO ‘SALIH 994 aalud ‘uno AOS Saxold

7 TEM ‘NIKLIGAT AOS ‘09 aIVaUOSA1Od 03 FJWAHOSATOd ‘SHOAVTS

A WENN ‘(gganHSau4 anyasaud Q!) GOV IGUOS ‘SIWHVALSONON
@u08 SactuaOAT910 CINY-ONGN IVS ‘UQHYLS NHOO S994 Caled ‘YO109
TAINVEYO WOT ONDE “uM ‘T10 TNH Wve NV Wivd ‘9h ‘AOTIOS
ji 40 Hov:! 40 $53 5 0/7 SNIVINOD VOO09 ‘UVM ASOULXaG HOV
\JAlOHd OL ON DEMO (NY OHELHLIM STIO NYAGA0S CNV Wivd ""EvOnIS ‘(qov

Spe ZA NINN NINY HOEK ‘ANIAWLIAL FIWeLLINONOWN NIVIRL ‘NOUI GS0NGe
SONNET NEI 80 So pea aS NOD ‘SINSIGSY9NI

 

 
"
125.jpeg,"  

~

oe et 8

3

   

 

hi
& £ ss

eS

re

breathsav

Peppermint ry YVAN
*ifeas lh WA ;
NATURAL & ARTIFICIAL FLAVOR uses INL UL Ad

a=, and baking soda to
4 + 4 ( © U » reduce intrinsic bad breath
, % for up to three hours.

40% to nk sugared mints. Calories per piece reduced from /to5.

Nutrition Facts siz sen, set min 9 cee

Calories 5, Total Fat 0q (0% DV), Sodium Smg (0% DV), Total Carb, 2g (1% D

Sugars 09 nc 0g Added Sugars, 0% DV), Sugar Alcohols 2g, Protein 0g. Nat a significant

of saturated fat, trans fat, cholesterol, dietary fiber, vitamin D, calcium, ron, and p potassium,
NGREDIENTS: SORBITOL: BAKING SODA; MAGNESIUM STEARA:E: FMAM RA Rae cee L FLAVOR; ZINC
aoe E: MEDIUM CHAN TRIGL LYCERIDES; ARTIFICIAL COLOR (BLUE 1 LAKE]; POLYSORBATE 80.

TPHENYLKETONURICS: CONTAINS PHENYLALANINE,

4 Coa Hershey Company

Hershey, PA 17033-0815, U.S.A: Visit us at
Questions or comments? www.askhershey.com www.reathsaversmints,com 2

= | | | | | | |

0 °""34000°93834"" "" 6
701-93833-005

 

Ee Se

 
"
74.jpeg,"    
  

  

food contributes to daily diet. 2,000 calories a day is used for genera)
nutrition advice.

TV NGREDIENTS: Cashews, Vegetable Oil

  
  

(Canola and/or Sunfone), Sah ied

Vinegar Powder |
Food Starch, White Dist Vinega

Favors, “Dehydrated orn.
Disodium nosinale and Guat P

Nenthan Gum,
CONTAINS: CASHEWS, MIL

ees
Berry rail.
. Heh un

i
(A

rT uae
on equipmen ead,

: y fF 4
t ere ;
( aka rz oF

= (ak aa

 

f), |
ian Natural |

Tate 7e\*
Viena
1

 
      

 

absolute @ Moc?

seeds pay 3

= Ms cust
3é ;
Seneratitig,

edicatig quality con
fering HANTS Wey
shembour \oya\ tans

  
 
 
   
 
  
  

N7S takes thes®
combines xem

“\wasonins- Ging
chet
‘singcashe’s O%

‘om out gamndy *)
iow for puyind

 
"
21.jpeg,"   
  
  
     

   
   
  
     
      

 
  
  
  
  
  
  
 
  
  

ene —_— - Por a
———Por serving Per container
17% 209. 33% ium eed oe
2 30% 129. 60% Cart Zig Ae 6
Saturated Fat 64 S07 — — 5

© htt” :
a\qay— —TransFat_ ss
NE pore nial unset. Fal 20

otal Fat —__

   
    
   

  

1939
69

 

 
  

   
      
   
  

 

2
Incl, Added Sugars 18g 26% 25g

 
 
   
   
   
 
 
 

 
  
   
 

       
   

     
 
   
 

   
 

Oe 8g_ KY,
ng *ze_ | — onounsat. Fat 49 70mg 3%| Protein
ac _£ (579) Gpolesterol Smid 276 LO) ae nO LOM TOT |)
0 eo omey 0% Iron a6 Le ie Se .
Tor 2%) MraminD. « OMmeg _% SY _—7994| Potassium > 0% 140mg 2%
aiclum Bee |< ood contributes to a dally dot. 2,000 Z

    
  

Calcium

70 g5mg 9%
(a Sontaln’ jx % Dally Valo (OV) tells you how much a t/7Re”
- : a

  

  
  

  
 

Box’ 750,'Collegedale, TN 37315

    

      
    

   
  

    

, ica3, P.O.
“me McK MEAs, consumer Service’, ""="" TOK 7"") aiid f
ah teen ei | 522-4499 or write to if yore 7 eases Timer |
Br (tromments, call z-C00; rf eh on baa c
Ta PoE. q (of Pt ; ga0ot) Dy

0 (
; i Ea f ;
44 ee t SZ LP r
ae ‘ a (yo . {sailed ye =
= z he .
be F . f
td y it : \ \
= / * ¢ > .
1h} 7
Hh tees . . \
Wate ; >
Mais eet ee ee fe J Me ie 2 |
i = »

INGREDIENTS: ENRICHED BLEACHED FLOUR... HEAT FLOUR, BARLEY MALT, NIACIN, REDUCED IRON, }
THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), WATER,.. ‘GAR, PALM OIL, j
DEXTROSE, PALM AND SOYBEAN OILS WITH TBHQ AND CITRIC ACID. TO PROTECT FLAVC's, YEAST, |
CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: CORN STARC! MONO- AND DIGLYCE IDES, SOY v
FLOUR, NONFAT DRY MILK, SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SOD}’ DRIED
GG, WHEAT STARCH, DATEM, FRESERVATIVES (CALCIUN PROPIG.JATE,SORBIG ACID, POTASS. JM pe
poe, DRIED HONEY, SOY LECITHIN, CALCIUM CARBONATE, CALCIUM STEAROYL LACTYLATE, AGAR, i
g prc ACD GINA ; WN Nas ti ay. ARTIC FLAVORS (CONTAINS LEMON), CALCIUM SULFATE; 7 ; |
WZYMES, TAN .(COLOR),COCOA, A _APIC ACID, HYD CALCI )
PEROXIJE, ANNATIO“XTR/ ST TURMERIC EXTRAGT; SOVE SAN OIL. ee ee RV /

ALLERGY | sFORM’” JN: CONTAINS WHEAT, SON‘, -=GG8. LDS-NP-04-21-E EXPY) Y
McKer oor «to, BOX741), 7C' ob ALE, TN 37315 ©2021 - ©2022
‘ohn a} ~ ENGINEERED FOOD INGREDIENT,

riewcer ae"" sean Rem.

4

    
 
"
70.jpeg,"        
     
  
   

, C 0%
_ 9 0%
iotassium 130mc DY,
—— D7,
a significant source of added —
iS.

6 % Daily Value (DV) tells yo
| a SE a of food Be epies toad. < le
alc ries a ay Is used for general DN Ghia.
euTS: ENRICHED CORN MEAL (CORN MEAL FERRO ;
EIEN US SULFATE, NIALi, 1: ’
TRATE, RIBOFLAVIN, FOLIC ACID), VEGETABLE OIL (CORN, CANOLA in

FLOW Sr MALTODEXTRIN (MAD =! CORN), AND LESS THAN 2% OF GAALC
NER HOT SAUCE (AGED CAYENNE ER VINEGAR, SALT GARLIC), POTASSIN
REAM, SKIM MILK, CULTURES), CHEDDAR

Wi, WHEY, SALT, SPICES, SOUR C
MHEESE (MILK, CHEESE CULTURE. - ENZYMES), NATURAL FLAVORS, SUGAR
WNOSODIUM GLUTAMATE, CHILES ALT. ONION POWDER, BUTTERMILK Us
BACT SODIUM DIAGETATE, CRF AM \ EESE (MILK AND CREAM, Cf EO AS
yb) SKIM MILK, MEDIUM HN TAR

p PEA PROTEN peaPRote

WT WNTHAN GUM, CAROB B Ce
| B (Ri. 40 LAKE),
on ANYLATE, AND pISODIUM INOSINATE.

“ARTIFICIAL
SSQWDER, SALT), DISODIUM GUANY™

lm | ne Y
We FRITO-LAY
RTH AMERICA, 'NC

 

 
       
  
 
  

  

i
"
37.jpeg,"bd NOT MICROWAVE IN JAR
SPOON IN HOT WATER.

REMOVAL OF CONTENTS, DIP re
tition Facts Servings: About 15, Serv. size: pag |

sunt sexing CalOri@S 45 total Fat Og le D\) Sa Fat y (0D

(% DV), Tota tah.
a Nid gas THO
DY}, Pas

0p, Cholest, Omg (0% DV), Sodium 10m ie
us, (0

fi ar (0% DV), Total Sugars 8g (nl ni
{Poe Og, Vit D tt bu Calcium (0% DV), tron (0

MEET CH SYR SUGAR, WATER, CONTAINS LESS THAN 2»
UE WATS, CREA OF TARTAR, XANTHAN GUM, ARTIFICIAL
""a _ AND NATURAL FLAVOR,

(i 12 | CONTAINS: EGG.

We wre,_| KRAFT HEINZ FOODS COMPANY

le 44 | CHICAGO, IL 60601

mast | SCAN HERE FOR MORE 7
00D INFORMATION

 
"
