ocr_results_easyocr
Image Name,Extracted Text
39.jpeg,"85 servings per container] size 3/4 (2 serving Pade itI 10 % Daily ITotal Fat 0.5g_ 39 1 Saturated Fat 0.5g_ Trans Fat 0g 6 0/ IL Cholesterol Omg %f 0% 2 Socium 5mg % Total Carbohydrate |g : Total Sugars 0 Includes Added Sugars 1 6 6 (Protein 5 7 0 Hbtasignfcant source of polyunsaturated Iat, W U Ial, vitamin D, calcium, iron; V CORN SYRUP 12 (300p) O0 BLVBEANCOANDLESS 2% OF 1 6 [06 'BEAN) , AND (A MILk DERTVATIVES DIPOTASSIUM NATURAL AND Nol= CONTAINS: A ' d DISt of lactose. BY NESTLE USA, VA 22209 USA DERIVED FROM A 0b in the total U.S. Nutrition Facts) Abjut tsp Serving per Amount Calories Value 1 J 6 1 09 09 E 09 monounsaturated | potassium. dielary ' and 120 (ber, ` HYDROGENATED KERNEL INGREDIENTS: SOLIDS, SODIUM PALM VEGETABLE AND/OR AND AND/or ThAN Mono- = SODIUM GASEinc FLAVOR ATE PHOSPHATE, DIGLYCERIDES ARTIFICIAL: ALumnosiLICATE  DERIVATIVE ANNatto MILK COLOR: source' STRIBUTED 'SOURCE ARLINGTON inC. BIOENGINEERED - INGREDIENTS ' 44154440 category YTolal $ creamer - dollar ~ powdered sales"
100.jpeg,"3 Je S V 4 Ss 7 S ` ""/ 2"" @ 3 3 5 Sla 3/ Sie 6 3ee S 2e A M s Ve 0 e S "" K Sn M , s 1 3 S S S] L S Aa Ye 2 e 4 Se 3 Y Fe 3 ^ s 3 S 3 g7 2f 63  4g"" Le= ;  2 4F z 35 2 F 2 s  8 : 4a 22 428 g 2 = 2 C  3 23 88 ! 37  4 3e B_ # 123 a 8 g 2  8 33 2e ^ 3 43 3 :  g 2 R  7 3eg 4  8 8"
54.jpeg,"Yl Ut SAN Nutrition ThE 4 per To size 2 Amount per Calories 170 % Daily Value* Total Fat 13%  Saturated Fat 6g Trans Fat Og Cholesterol 2% Sodium"" 2% Total Carbohydrate 21g 8% 'FOR Dietary Fiber 4% Total Sugars 19g Includes 16g Added Sugars 32% Our COMMITMENT Protein 2g To ULTIMATE QUALITY Vit: D Omcg 0% Calcium 4% FOR MORE INFORMATION Iron 0.2mg 0% Potas: 105mg 2% COCOA ABOUT OUR INGREDIENTS T AND SUSTAINABLE The % Daily Value tells you how much a nutrientin SOURCING VISIT a serving 0f food contributes t0 a daily diet; 2,000 calories a is used for general nutrition advice: ghirardelli com/sustainability Ingredients: whole milk  powder; cocoa butter; corn syrup; unsweetened chocolate, sweetened condensed milk (milk; sugar), palm oil, butter (cream; salt), sodium citrate , soy lecithin, natural flavor extracts of oregano; flaxseed; plum; and green tea (to preserve freshness) , salt;vanilla extract contain tree nuts. 7 47599""41871' 6 Manufactured by Ghirardelli Chocolate Company, Best Before: San Leandro, CA 94578,U.S.A. 02022 GCC. GccH 40002053 09-3 24 6462321 please FRANCISCO SINCE 1852 Facts GhirARDELLI DIFFERENCE"" servings FROM container BEAN BAR Serving squares QUALITY High (35g) 1 1 serving FoR NiBS 1 2 10g 30% For SMOOTHNESS 1 5mg 5omg CONCHE FLAVOR Rm 41g 50mg Progray Arming "" Rculu day Sugar; May  recycle"
80.jpeg,"5 2 U 41 2 2  2 0 I 3 A "" > S F 5 2 1 2 4 '  3 Se  Sn E 3 6 2 K ' "" 3 3 4 4 7f 4 # 7 2 W LA t 5 Ac a # 2 i Ak  1 4e E De KE 7 7 2 "" 7 3 ' 2 1 ( "" 1 "" 4 I ( 2 > 1 ne "" "" ""  5 366Z` { 4 4o0 €v2 ] 3 / V"
32.jpeg,"Nutrition Facts] 10 servings per container Serving size (P8gl Amount per eorving UAKER ESTR 1877 (Calories 100 Dally Valuet IMPLY THE Total Fat Og 0% IST QUALITY Saturated Fal Og 0% uaker has set the Trans Fat Og Polyunsaturated Fat Og tandard in Grits Monounsaturated Fat Og over 100 years  cholesterol Omg 02 ly Quaker@ Instant Sodium 310mg 1C5 its can help your Total Carbohydrate 22g 87 mily continue the Dietary Fiber Ig 5* adition with Total Sugars Og prepare, smooth Includes Og Added Sugars 0% and creamy Grits. Protein 2g Vitamin D 0% For more recipe Calcium "" 8% 1 ideas visit: Iron 12.9mg 70% quakeroats com Potassium 4Omg 0% Thiamin 15% 1 Ribolavin 013mg 10% Please note: Niacin 6mg 10% dark specks GRI Folate 6Omcg DFE 15% 1 occasionally found folic acid) in our grits are The % Daily Value (DMeelsyou how much & nuien naturally maservihg of bod contibutes  a dalydel 20 8 cabbres & bayis used lor general nubidon adca occurring in the INGREDIENTS: Degerminated white corn corn we use in this prits; salt catcium carbonate; reduced iron; product and do not niacinamide BHT and citric acid (to preserve thiamin mononitrate"" , ribollavin""' , affect the taste folic acid"" or texture. ""One ok the B vitamins, or 'special offers, Iformation to join DSTRIBUTED BY; i0 conversation; visit: THE QUAKER OATS COMPANY PO BOx 040003 JuakerOats cont, CHICAGO,IL 60604-9003 USA acebok cunvQuaker @Wuaker smartlabel Scan for more food informatlon LAYER 1 PAPER IMULTI or call 3 1-800-694-7487 BOX POUCH packet easy Omcg 1130mg_ 018mg _ Tiny (Bomcgs freshness), t here"
82.jpeg,"U 2g Ke 4644 0c 5 C 6 4 } 3 0 5l 3 3 UY ~ F 2 )  5 ( '( L 3 3 3 L 72 a S 6 Jnmci "" U "" rr; | | ID 0 "" M 06 7 Yo on E E ! 1 ( D~ S ~ S 0 MEA ID) 5 1 Em AoHth V | 1  L VIaI 5 Ian JF FH  1 N p SVE UN K 2 A 1 4an 2 2 2 7 7 ( 0 e  1 9  ' [ 0 Xe J W 0 2 > 2 4 2 "" ' "" 2 4 # 4 0 2 ' 0  AA N (  "" 2 7 3 "" n 1 2 "" a A 3 0 76 0 Ua  4  ~ 1"
67.jpeg,"Maaet 10 41g 15% Total 19_ 12% Incl: 19 39 1%/20 (Protein 4g 3% 50 29 Vitamin D O%| Omcg Calcium 10mg 0% 0% Iron 0.5mg 2%1 Potassiv 340mg 6%1 15% Vitamin 6%| 15% The % Daily Value (DV) tells you how much a nutrient in a serving of food contribues to a daily diet 2,000 calories a is used for general nutrition advice. INGREDIENTS: POTATOES , 9 VEGETABLE OIL_(CANOLA, CORN_ SOYBEAN AND/OR SUNFLOWER_ OIL) , MALToDEXTRIN (MADE FROM CORN; SALT; SUGSE OMON POWDER, Monosodium GLUTAMATSA HYDROLYZED CORN PROTEIN; 1 POTASSIUM SALT, POWDER; AND NATURAL FLAVORS. INC: TX 75024-4099 FRITO-LAY Did Sar Aae Dietary 5fpal Fiber 22 Sugare_ Added Sugars ' Omcg oelo 20mg 14mg 6% 900mg day DEXTROSE, GARLIC FRITO-LAY;, PLANO , INC; AMERICA, smartlobel NORTH 2023"
60.jpeg,"about 6 servingz 1 Serving PRETZEL Amount per 96 _ Calories 6 C dressing UsC Total Fat 5g 4 the Saturated tablel A Trans 0g { 'filling 20g ed Sodium lete Total Og 'Sugars 4g Includes Og Added Sugars_ TM mez Protein 2g Vitamin D Omcg 0% Calcium 4% Iron 0.6mg 4% Potassium 12Omg The % Daily Value (DV) tells you how much a nutri in a serving %f food contributes to a daily diet 2,C calories a is used for general nutrition advice INGREDIENTS: WHEAT FLOUR, PALM"" DAIRY PROLUCT Sui!os DEXTROSE, MODHFTEDECoRNSTARCH , SALT; LESS THAN 2% OE: MECTCEACEMe5 eanG SODIUM AC W) YEAST ACID , SOY LK BUTTERM MILKFAT;, ACID, CRE M; BY K AND SOY: NJ NS= USA US,LLC (21 0z_ size serving value| Dally ^3k Comboi #mole Fat  trings rich 0% ! Fat O1g insid 159  Cholesterol 350m2 pretzel carbonydrate 7% snocA oelo  Fiber Dietary vfime Total oel 40mg day O1L;, MALTODEXTRIN SKIM PYROPHOSPHATE)  SODA , WHEY, EXTRACT, LECITHIN , NATURAL FLAVOR;, CULTURES;,  PARSLEY;, CITRIC ALLERGY INFORMATION: CONTAINS MIle DISTRIBUTED WHEAT MARS ' HAcKETTSTOWN; E WRIGLEY CONFECTIONERY "" 07840-1503 Bicengineered ' FOOD  INGREDIENTS"
43.jpeg,"% Value* Total Fat 7g 9% Saturated Fat 4g Trans Fat Og Cholesterol Pirrtrnce 2% Sodium 40mg 2% Total Carbohydrate 17g 6% Dietary Fiber 4% Milanc_ Total Sugars 9g POUBLE MILK Includes 8g Added Sugars 16% CHOCOLATE Protein 2g Vitamin D Omcg O% Calcium 0% 6% Potassium 0% The % (DV) tells you how much a nutrient in a of food contributes to a dally diet, 2,000 calories  a is used for general nutrition advice, DDADE SFROM: MLK CHOCOLATE (SUGAR   Cocoa BUTTer, MlK,"" CHocolAte PROCESSED WITh^ CHOCOLATe, NONFAT MLK   SOY leciThin; VaNLLA ENRICHED WhEat FLour (Flour, MACW; Reduced IRON;, THAMNE MOWONTRATE RIBOFLAVM Folc aci; sugar; vegetable OLS (PAlm ANdzoR Ccoi rtz SOYBEAN AND HYDROGENATED SOYBEAN; EGgs, CONTAYS 2%6 OR LeSS OF; CobNSTARCH.SaLt BAKNG Soda MATuRAl FLaVor;, NoMFAt Mlk  CONTAINS: MILK Soy, WHEAT; EGGs, PEPPERIDGE FARM; INC;, ""1 NORWALK; CT 06856 Contains bioengineered food ingredients, The ingredients corn, soy, and sugar in this product come from genetically modified crops; Learn more at pepperidgefarm,com 910001029380 4743-4-6E3 Baked with no artificial preservatives (just one more reason they're so good) Baked in U.S.A. Dally 20% Fm Smg 419 20mg Iron Img 70mg Daily ` Value serving day ALKALL; EXTRACT) from why"
25.jpeg,"Nutilion Facts  10 per container Sowving seo Vo package mlx (Uo] Per 090 cake mx  Per 9/0 baked cake Clous 170/280 5% 169 179 '3680 Prolei Vitami D Wice 0% Calcium BUmg 296 4%6 kon Lzmg 6% | 23mg   15% Fotassium 120mg 2%6 4% Thiamin_ 8% 8% Riboflavin"" 8% 8% Niacin` 676 %6 Folate WumogDFe 20% | #wlee 15% folic acid (18mcg} The % Daily Value (DV) tells you how much a nutrant in a oflood contributes to a daly dreu. 2,000 calores & dayis used for general nutrition advce "" INGREDIENIS FMRGHED BLEACHED MHEAT ELOUR /BLENOHED WHEHT fiour"" IACH REdUcED IRON ThMe MONoNTRATE RbIe aeo UCHDLSUGAR Cocoaponder pRoles s DWMhalr  de4tr55 HEAANG SodwerARBOMAT SoDun _uuMehsaan MOHORNOMDHOSRHATE) CONTASLEnSZNN Z Qe cNQu OU PROPVEME RLooL Moho and Dusters S47 Wodeed CorMSTARLH WONO AdDOLOERdES ERasTunaTeoPhWol QeLLUROSE OUM SODUUM S""""ROVI LAGTVLATE KaNIhaDur 1 SCorbCAQDanTuRAL aWD ARTYMLFaoR WhE4T StarGr"" CONTAS; WHEAT; ` Conagra Brands Po. BOX 3534 , CHICAGO IL 60654 Scan here for more food or call' od.88fe6pation smartlabel servings . 3512 rnd Omcg' 40mg T50mg (26mcg) serving C"
52.jpeg,"Gum 2 FsCIs Sery- Size: 4422 Calories 240 7 14g 3170 hmount serving: 5 189 DV) , Sat Fat 8g (40% DV) , Trans Fat 9 8737est, <Smg (1% DV), Sodium 95mg Totai Carb. 26 (9% DV), Dietary Fiber 2g (7% Total Sugars 'Inc Added Sugars; 42% DV) Protein 5g, Vit. D (0% DV) Calcium (2% DV) Iron (4% DV) , Potas: (4% Igrediets EOhk GHocoUatetsuGARH Gocq4 Butter' CHOcoLAte PEANUTS; PALM DROGENATER RL FLAVOR1_ SUGAR' PEACOF MILK: LACTOSE . PEANI 9340075 P4UB O4tur/oRQGBOR""ed Pam KereSe  CORASTARCU DEKTROSIALSS DEFAT MARS 6 VELLOW 5, BLUE 7 Re6 ADOGAreLTdeSe"": CoLorSCOFCISIDES DEXTROSE; LESS THAN Rtal; GLEeRGRA ensroex_RER AQE FOEAETov Es_2ane; SELLOW BLUE _ LAKE RED 40, VELLOW Ocilak Osegutedeormogio, Cco4tetO PEARUT ERESHNeSsECLOVACACAKE, BLuE 2  Ake ' BLue 2 Reng eerGONTA NSecsone6sUs Ec #DSoACACI FFooU FeGREDEEnTs Cc Hacset stow Conj378-REE NuTS: Od Questons 0r NJ 07840-1503 USA Call Means 1 )urrition Kz pack, 52 per 0g_ DV DV), 22g 21g DV). OILL OI DSTRIBUTEED CONTAINS BYQeNGineered Commente? 1-800-627_ 7852 Misic ns eet"
41.jpeg,"my Ingredients: Facts ligrefrectossugarn 'tubhn Syrup; Palm Oil; Corn One {Ssenngs per container Starch; Water: Contains or: One& onbe Keningsize 2 tbsp (83g) 2% or less of: Salt; or: 24toBlop Monoglycerides;_ Instruction' amwuper senving Polysorbate 60, Sour nonfat Cool cakecow | Ilalbries 140 Cream (cream, before trosl milk, cultures) , Sodium YDally Value: Stearoyl Lactylate, Str Ve [WFat Eg 7% Sodium Acid StorecoteWl] Fat 259_ 137 |Pyrophosphate; Natural Covarondre| Wpl' JiansFat Og Fiavor; Citric Acid, Omg 0% Yellows 5 & 6. 2 Preserved by @alc Sorbate. 0 23g 89 MabFda @ @ |cONTAINS F 1 8 Iswars 199 INGREDIENTS: I9g Sugars 39% DIST, BY GENERAL USA SetIy= Oq MINNEAPOLIS, MN Ha Contains W k ohand Of 0, Food Wmha Learn more at ""uhen u Ron much 1 Il lo a nutrient GLUTEN Susedlc 3 Idet 2,000  Inutnbon advce, Cr A (Ce Sugar; One Muhition AA8rotn} Ibuu ^ 'room;lr Saturated F frosting  Freshness EFRASIHV Chesterol STOREF Potassium SuUlum 7Omg spooh] Carbohydate_ Delry E MILK hdudes |E INCw SALES; JAdded = MILLS= (Plelh € 55440 Bioengineered 0 Follow! ASucant e great, Mun I com (Souce C Ingredients Vtamin F '@betty GeneralMills _ polassium, Ask. ( FREE  Kikt  conibules | daly € Mills (general General"
107.jpeg,"Amount/Serving Cantidad por Racion % Daily Value* % Valor Diario Amount/Serving Cantidad por Racion % Daily Va Nutrition Facts Datos de Total Fat Grasa Total 8g 10% Total Carbohydrate Carbohidrato 232 Saturated Fat Grasa Saturada 3g 15% Dietary Fiber Fibra Dietetica Og Nutricion Trans Fat Grasa Trans Og Total Sugars_ Azucares Totales 14g Cholesterol Colesterol Omg 0% Includes 14g Added Sugars About 4.5 servings 2% Incluye 14g Azucares Anadidos 4.5 Raciones Sodium Sodio 55mg Aprox Protein Proteinas 1g Serv. Size 5 wafers(32g) Racion 5 wafers(32g) Vitamina D Omcg 0% Calcium Calcio 4mg 0% Iron Hierro Omg 0% Potassium Potasic Vitamin D of food contributes to a daily diet; 2,000 calories a day is usedfor ge0 Calorias The % Daily Values tells you how much a nutrient in a serving de alimento contribuye a una dieta diaria. calo Calories 170 EhporcDntajedluealor Diaio indica a cantidad de un nutriente en una porcion  per serving por consejo general de la nutricion: AND CITRIC ACID FOR HYDROGEHATEd AND OR IMTERESTERHFED SQVBEAM OH WH TbHG BH AScoroxePD GTRT AGbHcOoc_RHeoLAHD OTRIGAODEOR hay INGREDIENTS: SuGAR, VEGETABLE QIL(PALM OL GEV,Je0v Euhma EAz""G oduneci BoneieRT6OALEDROGENADOT7o IBREONFICNG CON TBHQ; BH, PALMITATo DE TRESHNESS) WHEAT FlouR; CorN STARCH OR YUCA STARCH AzUGaraceve VEGEA AgepePAla Gene DESo7A Hdrogen n5040 (BICARBONATO DE Sodio) SABOR Ennunoogt9nno To paGrREOuRA} HARzUGUE ACGG VEGEDo deng zont oonde-uc ""n4egta196 001 7@DSREUEDRrodiSrIutdo por Gok foods AScoRBILO, AlfA TocoFEROL Y ACDO CTRICO PARA FRESCURALE I(OETRIGO R LEChe #Roduc ODen Siyoig 6on59w3a GOuGARSETO RuRBen  ARTIFICIAL = Acido GRico, CONTIENE: TRIGo YSOYA;PUEDE SfoRe IN A CoOL Dry piAcE CONSERVAR EN lugar ARTFGRGEY CODAU73C} US0.Contains Bioengineered Food Ingredfents: wgoyaom Lest By Consumir Antes de: DEC /05 /2024 2c 2,000 porcion 1 ( [ 0 1 2 1 1 Gova Gova GovA GovA Gova"
